horizon,n,WIS_mean,WIS_min,WIS_max,MAE_mean,MAE_min,MAE_max,coverage_95_mean
1,34,1529.8,312.5,10129.1,1954.2,16,11505,0.88
2,34,3493.9,532.3,23364.3,4407.7,34,26148,0.85
3,34,4862.8,705.1,36917.7,6102.2,99,41058,0.85
