horizon,n,WIS_mean,WIS_min,WIS_max,MAE_mean,MAE_min,MAE_max,coverage_95_mean
1,34,1448.2,473.9,8387.9,1830.1,70,10715,0.88
2,34,3148.6,776.3,19933.4,4016.9,19,24161,0.85
3,34,4271.1,1037,26927,5407,182,34281,0.91
